event_id,listed_crest_stage_ft,crest_date,h0_stage_ft,total_rise_from_h0_ft,time_to_peak_hr,max_r1_ft_per_hr,max_r3_ft_per_hr,max_r6_ft_per_hr,max_momentum_r1_minus_r3,rapid_rise_start_datetime_utc,observed_peak_datetime_utc,observed_peak_stage_ft
20210619_1632,16.32,6/19/2021,6.8975,9.4225,11,2.102500000000001,1.7933333333333332,1.3591666666666669,0.7808333333333344,2021-06-19 06:00:00+00:00,2021-06-19 17:00:00+00:00,16.3125
20210712_1635,16.35,7/12/2021,10.5325,5.817500000000001,27,0.6625000000000014,0.6308333333333334,0.5350000000000001,0.2024999999999988,2021-07-11 22:00:00+00:00,2021-07-13 01:00:00+00:00,16.3475
20210721_1623,16.23,7/21/2021,8.21,8.02,78,0.9524999999999988,0.8500000000000002,0.7029166666666665,0.331666667,2021-07-18 07:00:00+00:00,2021-07-21 13:00:00+00:00,16.21
20210830_1979,19.79,8/30/2021,7.0575,12.732499999999998,16,2.045,1.8541666666666667,1.5333333333333332,0.5824999999999996,2021-08-30 03:00:00+00:00,2021-08-30 19:00:00+00:00,19.7675
20210916_1768,17.68,9/16/2021,7.715,9.965,18,1.7174999999999994,1.6000000000000003,1.2579166666666666,0.5466666666666672,2021-09-15 11:00:00+00:00,2021-09-16 05:00:00+00:00,17.6725
20220406_1558,15.58,4/6/2022,7.305,8.275,25,0.9849999999999994,0.9258333333333333,0.7825000000000001,0.2858333333333339,2022-04-05 17:00:00+00:00,2022-04-06 18:00:00+00:00,15.575
20221127_1539,15.39,11/27/2022,6.4125,8.977500000000001,58,1.299999999999999,1.219166666666667,1.03875,0.4933333333333335,2022-11-25 04:00:00+00:00,2022-11-27 14:00:00+00:00,15.3825
20221130_1755,17.55,11/30/2022,8.9125,8.637500000000001,10,2.1750000000000007,1.8391666666666666,1.3504166666666666,1.088333333333334,2022-11-30 11:00:00+00:00,2022-11-30 21:00:00+00:00,17.5375
20221215_1627,16.27,12/15/2022,7.2275,9.0425,18,1.4399999999999995,1.3425,1.1029166666666665,0.4249999999999995,2022-12-14 23:00:00+00:00,2022-12-15 17:00:00+00:00,16.265
20240109_1655,16.55,1/9/2024,6.8774999999999995,9.672500000000001,87,1.4499999999999993,1.25,0.9887500000000001,0.38416666666666666,2024-01-06 07:00:00+00:00,2024-01-09 22:00:00+00:00,16.545
20240125_1893,18.93,1/25/2024,7.76,11.17,12,2.8575,2.2449999999999997,1.6091666666666666,1.2558333333333334,2024-01-24 21:00:00+00:00,2024-01-25 09:00:00+00:00,18.9225
20250408_1568,15.68,4/8/2025,6.765,8.915,39,1.0274999999999999,0.9416666666666668,0.8425000000000001,0.3908333333333334,2025-04-06 16:00:00+00:00,2025-04-08 07:00:00+00:00,15.6725
20250508_1701,17.01,5/8/2025,6.9825,10.027500000000002,25,1.5299999999999994,1.3475000000000001,1.1279166666666667,0.44499999999999995,2025-05-07 07:00:00+00:00,2025-05-08 08:00:00+00:00,16.9975
20250510_1517,15.17,5/10/2025,6.9825,8.1875,25,1.5299999999999994,1.3475000000000001,1.1279166666666667,0.44499999999999995,2025-05-07 07:00:00+00:00,2025-05-08 08:00:00+00:00,16.9975
