datetime,stage_ft,r1_ft_per_hr,r3_ft_per_hr,r6_ft_per_hr,momentum_r1_minus_r3,event_id,listed_crest_stage_ft,crest_date
2012-08-28 05:00:00+00:00,6.27,,,,,20120831_2454,24.54,2012-08-31
2012-08-28 06:00:00+00:00,6.2575,-0.01249999999999929,,,,20120831_2454,24.54,2012-08-31
2012-08-28 07:00:00+00:00,6.245,-0.012500000000000178,,,,20120831_2454,24.54,2012-08-31
2012-08-28 08:00:00+00:00,6.23,-0.01499999999999968,-0.01333333333333305,,-0.0016666666666666306,20120831_2454,24.54,2012-08-31
2012-08-28 09:00:00+00:00,6.215,-0.015000000000000568,-0.014166666666666808,,-0.0008333333333337602,20120831_2454,24.54,2012-08-31
2012-08-28 10:00:00+00:00,6.195,-0.019999999999999574,-0.016666666666666607,,-0.0033333333333329662,20120831_2454,24.54,2012-08-31
2012-08-28 11:00:00+00:00,6.175,-0.020000000000000462,-0.018333333333333535,-0.015833333333333293,-0.0016666666666669272,20120831_2454,24.54,2012-08-31
2012-08-28 12:00:00+00:00,6.157500000000001,-0.017499999999999183,-0.019166666666666405,-0.016666666666666607,0.001666666666667222,20120831_2454,24.54,2012-08-31
2012-08-28 13:00:00+00:00,6.14,-0.01750000000000096,-0.018333333333333535,-0.01750000000000007,0.0008333333333325754,20120831_2454,24.54,2012-08-31
2012-08-28 14:00:00+00:00,6.125,-0.01499999999999968,-0.016666666666666607,-0.01750000000000007,0.0016666666666669272,20120831_2454,24.54,2012-08-31
2012-08-28 15:00:00+00:00,6.105,-0.019999999999999574,-0.01750000000000007,-0.01833333333333324,-0.0024999999999995026,20120831_2454,24.54,2012-08-31
2012-08-28 16:00:00+00:00,6.085,-0.020000000000000462,-0.01833333333333324,-0.018333333333333385,-0.001666666666667222,20120831_2454,24.54,2012-08-31
2012-08-28 17:00:00+00:00,6.06,-0.025000000000000355,-0.021666666666666796,-0.019166666666666703,-0.0033333333333335595,20120831_2454,24.54,2012-08-31
2012-08-28 18:00:00+00:00,6.04,-0.019999999999999574,-0.021666666666666796,-0.019583333333333435,0.001666666666667222,20120831_2454,24.54,2012-08-31
2012-08-28 19:00:00+00:00,6.015,-0.025000000000000355,-0.023333333333333428,-0.020833333333333332,-0.0016666666666669272,20120831_2454,24.54,2012-08-31
2012-08-28 20:00:00+00:00,5.995,-0.019999999999999574,-0.0216666666666665,-0.02166666666666665,0.0016666666666669272,20120831_2454,24.54,2012-08-31
2012-08-28 21:00:00+00:00,5.9775,-0.01750000000000007,-0.020833333333333332,-0.021250000000000064,0.003333333333333261,20120831_2454,24.54,2012-08-31
2012-08-28 22:00:00+00:00,5.97,-0.007500000000000284,-0.014999999999999977,-0.019166666666666703,0.007499999999999693,20120831_2454,24.54,2012-08-31
2012-08-28 23:00:00+00:00,5.965,-0.004999999999999893,-0.010000000000000083,-0.015833333333333293,0.00500000000000019,20120831_2454,24.54,2012-08-31
2012-08-29 00:00:00+00:00,5.955,-0.009999999999999787,-0.0074999999999999884,-0.01416666666666666,-0.0024999999999997984,20120831_2454,24.54,2012-08-31
2012-08-29 01:00:00+00:00,5.95,-0.004999999999999893,-0.006666666666666525,-0.01083333333333325,0.0016666666666666314,20120831_2454,24.54,2012-08-31
2012-08-29 02:00:00+00:00,5.95,0.0,-0.004999999999999893,-0.0074999999999999884,0.004999999999999893,20120831_2454,24.54,2012-08-31
2012-08-29 03:00:00+00:00,5.965,0.01499999999999968,0.0033333333333332624,-0.002083333333333363,0.011666666666666417,20120831_2454,24.54,2012-08-31
2012-08-29 04:00:00+00:00,5.9925,0.027499999999999858,0.014166666666666513,0.0037499999999999942,0.013333333333333345,20120831_2454,24.54,2012-08-31
2012-08-29 05:00:00+00:00,6.012499999999999,0.019999999999999574,0.020833333333333037,0.007916666666666572,-0.0008333333333334636,20120831_2454,24.54,2012-08-31
2012-08-29 06:00:00+00:00,6.035,0.022500000000000853,0.023333333333333428,0.013333333333333345,-0.0008333333333325754,20120831_2454,24.54,2012-08-31
2012-08-29 07:00:00+00:00,6.045,0.009999999999999787,0.01750000000000007,0.015833333333333293,-0.007500000000000284,20120831_2454,24.54,2012-08-31
2012-08-29 08:00:00+00:00,6.1,0.054999999999999716,0.029166666666666785,0.02499999999999991,0.02583333333333293,20120831_2454,24.54,2012-08-31
2012-08-29 09:00:00+00:00,6.135,0.03500000000000014,0.033333333333333215,0.02833333333333332,0.0016666666666669272,20120831_2454,24.54,2012-08-31
2012-08-29 10:00:00+00:00,6.165,0.03000000000000025,0.040000000000000036,0.028750000000000053,-0.009999999999999787,20120831_2454,24.54,2012-08-31
2012-08-29 11:00:00+00:00,6.2075000000000005,0.042500000000000426,0.035833333333333606,0.032500000000000195,0.006666666666666821,20120831_2454,24.54,2012-08-31
2012-08-29 12:00:00+00:00,6.2625,0.054999999999999716,0.04250000000000013,0.037916666666666675,0.012499999999999588,20120831_2454,24.54,2012-08-31
2012-08-29 13:00:00+00:00,6.3475,0.08499999999999996,0.06083333333333337,0.0504166666666667,0.024166666666666593,20120831_2454,24.54,2012-08-31
2012-08-29 14:00:00+00:00,6.4825,0.1349999999999998,0.0916666666666665,0.06375000000000004,0.04333333333333329,20120831_2454,24.54,2012-08-31
2012-08-29 15:00:00+00:00,6.6825,0.20000000000000018,0.13999999999999999,0.09125000000000005,0.06000000000000019,20120831_2454,24.54,2012-08-31
2012-08-29 16:00:00+00:00,7.16,0.47750000000000004,0.2708333333333333,0.16583333333333336,0.20666666666666672,20120831_2454,24.54,2012-08-31
2012-08-29 17:00:00+00:00,8.030000000000001,0.870000000000001,0.5158333333333337,0.30375000000000013,0.3541666666666673,20120831_2454,24.54,2012-08-31
2012-08-29 18:00:00+00:00,9.1325,1.1024999999999991,0.8166666666666668,0.47833333333333333,0.2858333333333324,20120831_2454,24.54,2012-08-31
2012-08-29 19:00:00+00:00,10.29,1.1574999999999989,1.043333333333333,0.6570833333333331,0.11416666666666586,20120831_2454,24.54,2012-08-31
2012-08-29 20:00:00+00:00,11.567499999999999,1.2774999999999999,1.179166666666666,0.8474999999999998,0.09833333333333383,20120831_2454,24.54,2012-08-31
2012-08-29 21:00:00+00:00,12.7575,1.1900000000000013,1.2083333333333333,1.0125,-0.01833333333333198,20120831_2454,24.54,2012-08-31
2012-08-29 22:00:00+00:00,13.5975,0.8399999999999999,1.1025000000000003,1.0729166666666667,-0.2625000000000004,20120831_2454,24.54,2012-08-31
2012-08-29 23:00:00+00:00,14.3,0.7025000000000006,0.9108333333333339,1.045,-0.20833333333333337,20120831_2454,24.54,2012-08-31
2012-08-30 00:00:00+00:00,14.95,0.6499999999999986,0.730833333333333,0.9695833333333331,-0.08083333333333442,20120831_2454,24.54,2012-08-31
2012-08-30 01:00:00+00:00,15.7175,0.7675000000000001,0.7066666666666664,0.9045833333333334,0.06083333333333363,20120831_2454,24.54,2012-08-31
2012-08-30 02:00:00+00:00,16.655,0.9375000000000018,0.7850000000000001,0.847916666666667,0.15250000000000163,20120831_2454,24.54,2012-08-31
2012-08-30 03:00:00+00:00,17.4425,0.7874999999999979,0.8308333333333332,0.7808333333333332,-0.04333333333333533,20120831_2454,24.54,2012-08-31
2012-08-30 04:00:00+00:00,18.0875,0.6449999999999996,0.7899999999999997,0.7483333333333331,-0.14500000000000013,20120831_2454,24.54,2012-08-31
2012-08-30 05:00:00+00:00,18.6675,0.5800000000000018,0.6708333333333331,0.7279166666666667,-0.09083333333333121,20120831_2454,24.54,2012-08-31
2012-08-30 06:00:00+00:00,19.1675,0.5,0.5750000000000005,0.7029166666666669,-0.07500000000000051,20120831_2454,24.54,2012-08-31
2012-08-30 07:00:00+00:00,19.6375,0.46999999999999886,0.5166666666666669,0.6533333333333333,-0.04666666666666808,20120831_2454,24.54,2012-08-31
2012-08-30 08:00:00+00:00,20.0475,0.41000000000000014,0.4599999999999997,0.5654166666666663,-0.049999999999999545,20120831_2454,24.54,2012-08-31
2012-08-30 09:00:00+00:00,20.380000000000003,0.3325000000000031,0.4041666666666674,0.4895833333333339,-0.07166666666666427,20120831_2454,24.54,2012-08-31
2012-08-30 10:00:00+00:00,20.677500000000002,0.29749999999999943,0.34666666666666757,0.43166666666666725,-0.049166666666668135,20120831_2454,24.54,2012-08-31
2012-08-30 11:00:00+00:00,20.9225,0.24499999999999744,0.2916666666666667,0.3758333333333332,-0.04666666666666924,20120831_2454,24.54,2012-08-31
2012-08-30 12:00:00+00:00,21.09,0.16750000000000043,0.23666666666666578,0.32041666666666657,-0.06916666666666535,20120831_2454,24.54,2012-08-31
2012-08-30 13:00:00+00:00,21.215,0.125,0.17916666666666595,0.26291666666666674,-0.05416666666666595,20120831_2454,24.54,2012-08-31
2012-08-30 14:00:00+00:00,21.2975,0.08249999999999957,0.125,0.20833333333333334,-0.042500000000000426,20120831_2454,24.54,2012-08-31
2012-08-30 15:00:00+00:00,21.3625,0.06500000000000128,0.09083333333333361,0.1637499999999997,-0.025833333333332334,20120831_2454,24.54,2012-08-31
2012-08-30 16:00:00+00:00,21.395,0.03249999999999886,0.05999999999999991,0.11958333333333293,-0.027500000000001044,20120831_2454,24.54,2012-08-31
2012-08-30 17:00:00+00:00,21.405,0.010000000000001563,0.035833333333333904,0.08041666666666696,-0.02583333333333234,20120831_2454,24.54,2012-08-31
2012-08-30 18:00:00+00:00,21.42,0.015000000000000568,0.019166666666666998,0.055000000000000306,-0.00416666666666643,20120831_2454,24.54,2012-08-31
2012-08-30 19:00:00+00:00,21.44,0.019999999999999574,0.015000000000000568,0.037500000000000235,0.004999999999999005,20120831_2454,24.54,2012-08-31
2012-08-30 20:00:00+00:00,21.5075,0.067499999999999,0.03416666666666638,0.03500000000000014,0.033333333333332625,20120831_2454,24.54,2012-08-31
2012-08-30 21:00:00+00:00,21.59,0.08249999999999957,0.05666666666666605,0.03791666666666652,0.02583333333333352,20120831_2454,24.54,2012-08-31
2012-08-30 22:00:00+00:00,21.677500000000002,0.08750000000000213,0.0791666666666669,0.047083333333333734,0.008333333333335233,20120831_2454,24.54,2012-08-31
2012-08-30 23:00:00+00:00,21.8225,0.14499999999999957,0.10500000000000043,0.0695833333333334,0.03999999999999915,20120831_2454,24.54,2012-08-31
2012-08-31 00:00:00+00:00,21.9925,0.16999999999999815,0.13416666666666663,0.09541666666666633,0.035833333333331524,20120831_2454,24.54,2012-08-31
2012-08-31 01:00:00+00:00,22.2025,0.21000000000000085,0.17499999999999952,0.12708333333333321,0.035000000000001336,20120831_2454,24.54,2012-08-31
2012-08-31 02:00:00+00:00,22.5025,0.3000000000000007,0.22666666666666657,0.1658333333333335,0.07333333333333414,20120831_2454,24.54,2012-08-31
2012-08-31 03:00:00+00:00,22.872500000000002,0.370000000000001,0.29333333333333417,0.2137500000000004,0.07666666666666683,20120831_2454,24.54,2012-08-31
2012-08-31 04:00:00+00:00,23.275,0.4024999999999963,0.3574999999999993,0.26624999999999943,0.04499999999999699,20120831_2454,24.54,2012-08-31
2012-08-31 05:00:00+00:00,23.6625,0.38750000000000284,0.3866666666666667,0.30666666666666664,0.0008333333333361281,20120831_2454,24.54,2012-08-31
2012-08-31 06:00:00+00:00,23.9925,0.3299999999999983,0.37333333333333246,0.3333333333333333,-0.04333333333333417,20120831_2454,24.54,2012-08-31
2012-08-31 07:00:00+00:00,24.237499999999997,0.24499999999999744,0.32083333333333286,0.3391666666666661,-0.07583333333333542,20120831_2454,24.54,2012-08-31
2012-08-31 08:00:00+00:00,24.4125,0.17500000000000426,0.25,0.31833333333333336,-0.07499999999999574,20120831_2454,24.54,2012-08-31
2012-08-31 09:00:00+00:00,24.5075,0.09499999999999886,0.17166666666666686,0.2724999999999997,-0.07666666666666799,20120831_2454,24.54,2012-08-31
2012-08-31 10:00:00+00:00,24.535,0.027499999999999858,0.09916666666666767,0.21000000000000027,-0.07166666666666781,20120831_2454,24.54,2012-08-31
2012-08-31 11:00:00+00:00,24.5225,-0.01249999999999929,0.03666666666666648,0.14333333333333323,-0.04916666666666577,20120831_2454,24.54,2012-08-31
2012-08-31 12:00:00+00:00,24.4775,-0.045000000000001705,-0.010000000000000378,0.08083333333333324,-0.03500000000000133,20120831_2454,24.54,2012-08-31
2012-08-31 13:00:00+00:00,24.3975,-0.0799999999999983,-0.045833333333333094,0.026666666666667282,-0.0341666666666652,20120831_2454,24.54,2012-08-31
2012-08-31 14:00:00+00:00,24.2925,-0.10500000000000043,-0.07666666666666681,-0.020000000000000167,-0.028333333333333613,20120831_2454,24.54,2012-08-31
2012-08-31 15:00:00+00:00,24.175,-0.11749999999999972,-0.10083333333333282,-0.05541666666666659,-0.0166666666666669,20120831_2454,24.54,2012-08-31
2012-08-31 16:00:00+00:00,24.0425,-0.13250000000000028,-0.11833333333333347,-0.08208333333333329,-0.014166666666666813,20120831_2454,24.54,2012-08-31
2012-08-31 17:00:00+00:00,23.9025,-0.14000000000000057,-0.1300000000000002,-0.1033333333333335,-0.01000000000000037,20120831_2454,24.54,2012-08-31
2012-08-31 18:00:00+00:00,23.759999999999998,-0.14250000000000185,-0.13833333333333422,-0.11958333333333353,-0.004166666666667623,20120831_2454,24.54,2012-08-31
2012-08-31 19:00:00+00:00,23.61,-0.14999999999999858,-0.144166666666667,-0.13125000000000023,-0.005833333333331581,20120831_2454,24.54,2012-08-31
2012-08-31 20:00:00+00:00,23.45,-0.16000000000000014,-0.1508333333333335,-0.14041666666666686,-0.009166666666666629,20120831_2454,24.54,2012-08-31
2012-08-31 21:00:00+00:00,23.265,-0.18499999999999872,-0.16499999999999915,-0.1516666666666667,-0.019999999999999574,20120831_2454,24.54,2012-08-31
2012-08-31 22:00:00+00:00,23.0825,-0.182500000000001,-0.17583333333333329,-0.16000000000000014,-0.006666666666667709,20120831_2454,24.54,2012-08-31
2012-08-31 23:00:00+00:00,22.91,-0.17249999999999943,-0.17999999999999972,-0.16541666666666663,0.007500000000000284,20120831_2454,24.54,2012-08-31
2012-09-01 00:00:00+00:00,22.735,-0.1750000000000007,-0.17666666666666705,-0.1708333333333331,0.0016666666666663443,20120831_2454,24.54,2012-08-31
2012-09-01 01:00:00+00:00,22.445,-0.28999999999999915,-0.21249999999999977,-0.19416666666666652,-0.07749999999999937,20120831_2454,24.54,2012-08-31
2012-09-01 02:00:00+00:00,22.2625,-0.182500000000001,-0.21583333333333363,-0.19791666666666666,0.03333333333333263,20120831_2454,24.54,2012-08-31
2012-09-01 03:00:00+00:00,22.07,-0.192499999999999,-0.22166666666666637,-0.19916666666666671,0.029166666666667368,20120831_2454,24.54,2012-08-31
2012-09-01 04:00:00+00:00,21.88,-0.19000000000000128,-0.18833333333333377,-0.20041666666666677,-0.00166666666666751,20120831_2454,24.54,2012-08-31
2012-09-01 05:00:00+00:00,21.692500000000003,-0.18749999999999645,-0.18999999999999892,-0.20291666666666627,0.0025000000000024725,20120831_2454,24.54,2012-08-31
